"budget","revenue","vote_average","runtime","popularity"
237000000,2787965087,7.2,162,150.437577
300000000,9.61e+08,6.9,169,139.082615
245000000,880674609,6.3,148,107.376788
250000000,1084939099,7.6,165,112.31295
260000000,284139100,6.1,132,43.926995
258000000,890871626,5.9,139,115.699814
260000000,591794936,7.4,100,48.681969
280000000,1405403694,7.3,141,134.279229
250000000,933959197,7.4,153,98.885637
250000000,873260194,5.7,151,155.790452
270000000,391081192,5.4,154,57.925623
200000000,586090727,6.1,106,107.928811
200000000,1065659812,7,151,145.847379
255000000,89289910,5.9,149,49.046956
225000000,662845518,6.5,143,99.398009
225000000,419651413,6.3,150,53.978602
220000000,1519557910,7.4,143,144.448633
380000000,1045713802,6.4,136,135.413856
225000000,624026776,6.2,106,52.035179
250000000,956019788,7.1,144,120.965743
215000000,752215857,6.5,136,89.866276
200000000,310669540,6.2,140,37.668301
250000000,958400000,7.6,161,94.370564
180000000,372234864,5.8,113,42.990906
207000000,5.5e+08,6.6,187,61.22601
200000000,1845034188,7.5,194,100.025899
250000000,1153304495,7.1,147,198.372395
209000000,303025485,5.5,131,64.928382
150000000,1513528810,6.5,124,418.708552
200000000,1108561013,6.9,143,93.004993
200000000,783766341,6.7,127,35.149586
200000000,1215439994,6.8,130,77.68208
200000000,1025491110,6.4,108,78.530105
210000000,459359555,6.3,104,3.857526
200000000,743559607,7,104,89.186492
150000000,836297228,6,150,21.939663
210000000,1091405097,5.8,165,116.840296
200000000,491868548,5.7,130,46.985445
200000000,705717432,6.5,142,89.270217
170000000,400062763,6.3,125,73.79505
200000000,559852396,5.8,106,49.98659
200000000,219851172,5.1,114,51.872839
200000000,1066969703,7.6,103,59.995418
200000000,371353001,5.9,115,71.862892
190000000,1506249360,7.3,137,102.322217
200000000,531865000,6.7,116,81.834855
250000000,747862775,7.5,131,118.078691
190000000,467365246,7.4,132,78.291018
195000000,197687603,5.5,114,43.349855
105000000,351040419,7.3,143,61.196071
150000000,335154643,6.2,116,62.169881
180000000,407602906,6.7,131,56.523205
195000000,1123746996,6.1,154,28.529607
185000000,786636033,5.7,122,75.674458
175000000,331926147,6.6,93,51.692953
185000000,538983207,6.7,93,125.114374
185000000,343471816,6.6,122,65.352913
180000000,521311860,7.8,98,66.390712
140000000,258022233,6.1,91,22.57178
200000000,769653595,5.6,158,45.274225
200000000,325233863,6.6,96,39.744242
176000003,183987723,5.2,124,85.36908
180000000,356743061,5.5,109,42.741719
180000000,748806957,6.7,143,67.391328
178000000,543934787,6.4,144,139.272042
185000000,1004558444,8.2,152,187.322927
175000000,735099082,7.7,96,92.201962
175000000,381509870,6,94,36.167578
140000000,585174222,7.4,126,120.725053
170000000,185770160,7,126,32.319043
170000000,222104681,5.1,106,40.748915
145000000,401128639,5.2,112,60.034162
175000000,7.45e+08,5.9,123,90.23792
175000000,1.73e+08,5.3,96,27.082182
178000000,370541256,7.6,113,79.456485
175000000,264218220,5.9,135,44.640292
175000000,302469017,5.6,118,32.852443
175000000,857611174,8,94,128.655964
175000000,966550600,6.7,106,94.199316
200000000,623933331,6.6,124,77.300194
170000000,396600000,5.8,127,77.178973
180000000,758539785,7,97,110.620647
170000000,710644566,7.3,130,243.791743
27000000,0,4.8,109,2.418535
175000000,150962475,5.9,119,41.796339
170000000,714766572,7.6,136,72.225265
165000000,752600867,6,93,44.041186
190000000,209154322,6.2,130,130.311355
165000000,652105443,7.8,102,203.73459
165000000,471222889,7.1,108,62.341073
165000000,305875730,6.4,100,47.323228
165000000,389681935,4.9,120,48.775723
165000000,494878759,7.5,98,67.263269
200000000,4.35e+08,5.9,109,69.405188
170000000,773328629,7.9,121,481.098624
165000000,675120017,8.1,169,724.247784
160000000,825532764,8.1,148,167.58371
15000000,7.7e+07,6.5,120,9.476999
250000000,1021103568,7,169,108.849621
38000000,207283925,6.6,106,6.909942
150000000,333932083,7.3,166,60.269279
160000000,353624124,7.1,132,3.195174
160000000,653428261,6.6,137,127.284427
150000000,215283742,5.8,109,35.580815
160000000,181674817,5.5,99,21.133748
170000000,299370084,6.5,113,56.268916
160000000,798958165,6,93,42.986467
160000000,433677183,6.3,123,63.148529
155000000,440603537,5.8,126,202.042635
155000000,415686217,6.2,113,49.661984
140000000,449220945,6.6,183,34.20669
150000000,709709780,6.6,144,25.468493
155000000,167298192,5.6,175,39.019229
150000000,938212738,7.4,138,78.144395
150000000,895921036,7.5,157,101.250416
150000000,624029371,6.2,92,56.758411
150000000,585349010,6.9,101,70.867401
150000000,474968763,6.7,115,53.905592
150000000,623722818,7.5,111,65.677399
150000000,374218673,7.5,140,115.040024
150000000,603900354,6.2,89,44.141021
150000000,413106170,5.9,105,81.781591
150000000,373062864,6.2,107,5.954334
150000000,424988211,6.4,129,73.313918
150000000,1274219009,7.3,102,165.125366
150000000,738599701,6.7,138,70.78591
170000000,644571402,6.8,112,99.499595
150000000,378858340,7.2,120,434.278564
150000000,356613439,6.5,138,67.447636
150000000,449326618,6.6,115,86.493424
150000000,309979994,6.3,98,41.845878
150000000,292817841,5.1,88,26.710398
150000000,3.01e+08,5.5,99,44.927635
150000000,245527149,5.7,113,50.306728
150000000,682330139,7.1,131,114.522237
150000000,0,5.5,102,21.214571
150000000,287594577,5.7,91,29.332905
150000000,665692281,6.7,91,51.247321
150000000,318502923,4.7,103,33.769336
150000000,397850012,6.5,126,63.079003
150000000,205366737,6.4,131,39.004588
150000000,38992758,5.5,88,12.362599
149000000,64459316,6,85,22.550135
150000000,128388320,5.9,111,48.03528
145000000,272912430,6.7,92,38.73494
175000000,497409852,6.9,163,66.803149
145000000,746921274,6.4,93,44.989192
140000000,431971116,5.8,133,54.159392
144000000,229147509,5.3,116,66.21806
140000000,553799566,6.4,151,58.485967
140000000,441818803,6,88,91.332849
70000000,195735876,5.5,115,35.601665
145000000,521170825,6.7,95,56.747978
145000000,694713380,6.8,133,77.77477
145000000,306941670,7.1,97,61.788035
100000000,202026112,5.9,90,25.159168
140000000,456758981,7.3,154,52.341226
140000000,268031828,5.6,150,101.599427
150000000,385680446,7.4,127,73.616808
139000000,821708551,6.8,121,82.502566
145000000,609123048,7.6,102,100.21391
140000000,150680864,5.3,127,56.257249
135000000,76932943,4.9,121,17.88953
130000000,185258983,7,163,64.798873
140000000,285444603,6.3,127,24.855701
137000000,245360480,5.3,138,34.981698
130000000,371876278,5.4,110,59.325589
130000000,119269486,5.7,124,21.605568
137000000,85131830,5.9,106,26.074908
140000000,370569774,6.6,124,74.506246
135000000,361832400,6,128,39.604363
150000000,212011111,6.9,138,36.973031
120000000,8.29e+08,6.1,115,99.687084
130000000,150406466,5.8,100,17.7735
150000000,163712074,6.1,114,62.898336
140000000,183345589,6,120,44.19092
135000000,532950503,7.3,156,100.635882
135000000,282570682,6.1,96,44.765377
135000000,245724603,6.6,107,29.91353
132000000,373552094,6.5,92,84.366984
70000000,442824138,7.3,115,45.381501
130000000,631744560,6.9,90,84.689648
130000000,519311965,7,117,120.09361
130000000,847423452,7.4,146,76.310119
135000000,368871007,6.8,94,63.473086
132000000,591739379,6.2,116,48.572726
130000000,273339556,6.3,147,38.068736
130000000,554987477,6.4,90,20.678787
110000000,293329073,6.2,100,48.829437
125000000,362637473,5.6,139,46.115758
130000000,371940071,6.7,107,89.938296
130000000,789804554,7.7,141,79.679601
130000000,49554002,6.3,165,28.840997
130000000,243843127,5,100,42.840582
127500000,354248063,6.2,82,26.548594
127000000,349424282,6.1,97,115.597753
130000000,321887208,6.7,95,68.757242
125000000,976475550,7.5,152,109.984351
130000000,61648500,5.4,96,39.448066
140000000,655011224,7.5,143,271.972889
125000000,752100229,6.6,123,206.227151
125000000,767820459,6.5,149,45.313197
103000000,500188435,6.3,102,42.40024
110000000,407711549,6.8,133,2.871739
125000000,626137675,7.1,130,7.255718
125000000,334615000,7,129,81.499621
125000000,232713139,5.6,106,47.686442
65000000,261317921,7.1,113,43.129703
160000000,61698899,6.4,102,27.220157
130000000,276572938,6,120,90.33681
125000000,238207122,4.2,125,50.073575
123000000,345141403,6.2,104,45.419668
125000000,544272402,6.2,124,41.380094
125000000,546388105,5.9,123,54.931334
120000000,325756637,6.2,130,25.752118
130000000,289047763,5.4,92,60.810723
120000000,609016565,7.2,127,51.328145
110000000,228738393,5.2,114,46.834704
120000000,415484914,5.9,123,62.641286
120000000,259175788,5.2,106,33.616115
130000000,403170142,6.3,124,68.889395
120000000,169956806,5.4,78,27.990284
115000000,286140700,6.4,109,67.33767
105000000,115772733,6.3,119,27.835436
120000000,242688965,5.7,102,66.757869
120000000,93945766,5.7,135,17.060695
120000000,48668907,4.9,121,11.137655
117000000,261930431,5.9,109,44.906918
120000000,286168572,6.4,124,67.698004
113000000,8.5e+08,7.1,140,44.108427
120000000,649398328,6.4,142,43.987061
115000000,562816256,7.5,92,106.815545
120000000,415440673,6.3,126,15.953444
