"neighbors",".metric",".estimator","mean","n","std_err",".config"
1,"rmse","standard",150358738.004852,5,4054065.69807253,"Preprocessor1_Model001"
3,"rmse","standard",129268382.403801,5,3284756.50832773,"Preprocessor1_Model002"
5,"rmse","standard",124979435.104912,5,2386734.16821412,"Preprocessor1_Model003"
7,"rmse","standard",122570803.680435,5,2341756.89450351,"Preprocessor1_Model004"
9,"rmse","standard",120652820.716368,5,2996955.68317262,"Preprocessor1_Model005"
11,"rmse","standard",118670449.622609,5,2696743.9024106,"Preprocessor1_Model006"
13,"rmse","standard",116216700.32979,5,2806891.26722929,"Preprocessor1_Model007"
15,"rmse","standard",115181278.766189,5,2766320.81973405,"Preprocessor1_Model008"
17,"rmse","standard",113522070.222146,5,3146700.98539832,"Preprocessor1_Model009"
19,"rmse","standard",112007419.240177,5,2739038.19976728,"Preprocessor1_Model010"
21,"rmse","standard",111930257.011345,5,3101821.58198569,"Preprocessor1_Model011"
23,"rmse","standard",111044663.074221,5,3163872.98046268,"Preprocessor1_Model012"
25,"rmse","standard",110735200.766102,5,3349643.49224881,"Preprocessor1_Model013"
27,"rmse","standard",110874281.152066,5,3365488.0306714,"Preprocessor1_Model014"
29,"rmse","standard",111173978.952648,5,3566131.28135042,"Preprocessor1_Model015"
31,"rmse","standard",110986459.477013,5,3593676.99620074,"Preprocessor1_Model016"
33,"rmse","standard",110804114.055781,5,3809672.04937519,"Preprocessor1_Model017"
35,"rmse","standard",110872594.037071,5,3851983.57309244,"Preprocessor1_Model018"
37,"rmse","standard",110901358.463809,5,3904683.27098556,"Preprocessor1_Model019"
39,"rmse","standard",110573256.098249,5,3849563.78098835,"Preprocessor1_Model020"
41,"rmse","standard",110262728.581365,5,3919850.51540977,"Preprocessor1_Model021"
43,"rmse","standard",110206744.36715,5,3895931.89644027,"Preprocessor1_Model022"
45,"rmse","standard",110241836.310122,5,4075670.59058178,"Preprocessor1_Model023"
47,"rmse","standard",110137128.764497,5,4093054.79336274,"Preprocessor1_Model024"
49,"rmse","standard",110057984.399882,5,4088753.75608829,"Preprocessor1_Model025"
51,"rmse","standard",110281904.655719,5,4144051.34106186,"Preprocessor1_Model026"
53,"rmse","standard",110348967.328193,5,4036574.77318148,"Preprocessor1_Model027"
55,"rmse","standard",110276012.657481,5,4172910.52504044,"Preprocessor1_Model028"
57,"rmse","standard",110262071.638452,5,4174696.78202619,"Preprocessor1_Model029"
59,"rmse","standard",109985682.600697,5,4327083.6696949,"Preprocessor1_Model030"
61,"rmse","standard",110262874.433653,5,4368296.65329218,"Preprocessor1_Model031"
63,"rmse","standard",110176534.049116,5,4394088.96446812,"Preprocessor1_Model032"
65,"rmse","standard",110378337.574263,5,4377936.59203018,"Preprocessor1_Model033"
67,"rmse","standard",110444647.960359,5,4385893.25519811,"Preprocessor1_Model034"
69,"rmse","standard",110424059.456723,5,4387019.50829789,"Preprocessor1_Model035"
71,"rmse","standard",110522586.075454,5,4392123.96166773,"Preprocessor1_Model036"
73,"rmse","standard",110579433.529287,5,4387527.50250115,"Preprocessor1_Model037"
75,"rmse","standard",110585285.38708,5,4362722.15789978,"Preprocessor1_Model038"
77,"rmse","standard",110559839.702513,5,4426679.4670958,"Preprocessor1_Model039"
79,"rmse","standard",110665739.515143,5,4391949.0169391,"Preprocessor1_Model040"
