"","budget","revenue","vote_average","runtime","popularity"
"84",27000000,0,4.8,109,2.418535
"136",150000000,0,5.5,102,21.214571
"266",0,0,4.9,82,18.251129
"273",90000000,10372291,3.7,104,1.004579
"310",84000000,0,3.6,94,17.815595
"312",100000000,7103973,4.4,95,12.092241
"315",10000000,13835130,7.1,110,3.091077
"341",98000000,10017322,5.7,119,7.029308
"377",90000000,0,5.2,104,19.836124
"382",90000000,16178959,5.4,110,3.593349
"407",0,0,6.7,97,19.83683
"434",84000000,0,6.4,116,44.34333
"454",0,0,5.6,93,25.450534
"468",90000000,0,5.9,114,6.643778
"472",85000000,0,5.2,90,18.335992
"475",0,0,6.4,81,3.300061
"485",80000000,17626234,6.1,177,14.564667
"491",80000000,5989640,4.8,110,7.342892
"493",8000000,0,5.3,89,0.719996
"503",80000000,15071514,5.7,99,15.673154
"519",75000000,0,4.3,78,17.561955
"537",75000000,0,6.4,148,13.327372
"542",75000000,14567883,6.1,99,11.873856
"543",0,5802422,5.8,84,12.708963
"550",75000000,13100000,5.8,134,18.65988
"585",0,0,6,125,13.758526
"602",0,0,3.4,98,9.306253
"606",70000000,18662027,5.9,88,6.682006
"649",65000000,0,6.5,117,19.718544
"657",65000000,0,6.1,143,9.110247
"661",65000000,0,6,135,14.866901
"665",65000000,17218080,5.4,100,16.803457
"666",65000000,0,4.9,105,2.952595
"684",62000000,18720175,5.8,125,11.262655
"720",60000000,0,6.7,111,15.798622
"734",60000000,0,5.9,119,4.801849
"736",0,0,5.3,98,21.549232
"746",0,0,5.3,115,19.998581
"763",60000000,0,6,111,18.877795
"774",60000000,17800000,6.3,140,13.155999
"785",60000000,0,4.1,127,15.406173
"786",35000000,0,6.7,127,6.523472
"788",80000000,10166502,6.8,132,8.923215
"797",60000000,0,4.9,119,19.694695
"817",55000000,0,5.4,92,22.573237
"830",55000000,0,6,97,13.191829
"846",80000000,0,6.2,126,7.386394
"852",55000000,18626419,5.7,116,4.366488
"856",56000000,12923936,6.1,214,4.362535
"857",55000000,11466088,5.2,100,4.700024
"858",55000000,0,5.7,107,12.340384
"863",2000000,9250000,7.3,153,23.962109
"864",55000000,6416302,5.3,96,12.669778
"867",55000000,9489829,5.2,92,22.503935
"872",54000000,7266209,3.5,121,9.053456
"873",55000000,9450897,5.7,125,7.768223
"882",0,0,5.9,172,1.453765
"883",0,5761917,5.4,124,6.162872
"895",52000000,0,5.1,104,15.20707
"916",0,0,6.9,124,16.368283
"928",60000000,0,5.2,99,9.225166
"956",50000000,0,5.8,124,15.931084
"965",50000000,0,6.3,137,9.622345
"989",50000000,10541523,5.9,114,3.314004
"990",50000000,16671505,5.8,99,21.312186
"991",50000000,10382407,5.5,135,7.44268
"994",50000000,9851610,5.2,95,8.189406
"999",50000000,6808550,5,88,6.397388
"1000",60000000,0,5.4,105,2.275331
"1002",50000000,12764201,3.9,97,8.139676
"1012",0,0,4.3,0,0.716764
"1014",50000000,3324330,6.1,137,40.371098
"1029",0,0,7.7,167,24.132271
"1033",0,0,5.5,102,10.698929
"1040",46000000,5200000,6.5,140,0.146783
"1070",0,0,4.3,93,7.157635
"1075",45000000,0,5.9,96,11.095914
"1081",0,0,7.1,133,11.872841
"1085",45000000,0,4.7,92,6.250282
"1086",45000000,0,5.5,117,11.120344
"1091",57000000,0,5.8,117,7.524671
"1092",44000000,13681765,7.1,192,3.770161
"1094",45000000,11203026,6,106,6.513856
"1095",45000000,9323833,6.3,160,11.387408
"1096",110,0,6.6,114,9.950505
"1099",45000000,4607608,6.4,139,5.361699
"1108",44000000,0,5.5,118,3.937352
"1110",44000000,3484331,6.4,219,5.380124
"1140",42000000,11087569,6.3,100,7.349497
"1141",33000000,1.4e+07,6.8,100,7.663515
"1145",41000000,0,5.3,88,14.653718
"1148",41000000,7448385,5.6,100,9.419726
"1203",0,0,5.8,116,7.519433
"1213",40000000,0,5.8,106,7.021871
"1216",65000000,0,5.7,103,8.680334
"1229",40000000,0,5.5,102,15.055732
"1230",0,0,5.8,116,32.808675
"1237",40000000,0,4.9,107,3.321949
"1241",35000000,0,6.4,115,22.939557
"1244",500000,3e+06,7.2,110,17.002096
"1254",40000000,0,5.7,101,6.90894
"1257",55000000,14375181,4.2,107,2.410546
"1259",40000000,16872671,5.7,103,8.980846
"1260",40000000,14358033,5.7,99,7.222985
"1262",0,0,5.5,91,10.0403
"1263",60000000,13395939,5.6,103,15.219263
"1266",40000000,18902015,3.2,101,6.756886
"1269",0,0,6.3,103,5.483671
"1270",0,0,5.2,115,1.630541
"1271",45000000,10667893,4.2,82,14.566664
"1273",40000000,0,6.1,102,9.579975
"1274",40000000,10959475,5,93,2.911819
"1278",40000000,0,5.4,94,4.238482
"1279",40000000,13644292,5.5,115,26.935458
"1282",20000000,7563728,6.2,107,17.842246
"1283",0,0,6.6,101,8.048305
"1284",30000000,0,7.1,111,14.188982
"1285",40000000,0,6.3,126,6.884467
"1286",25000000,0,4.3,112,8.212018
"1288",25000000,0,6.5,90,17.375562
"1289",0,0,5.9,90,6.7698
"1307",40000000,0,6.8,88,5.057695
"1313",38000000,0,5.5,99,5.257009
"1321",37000000,6482195,5.8,118,4.131546
"1322",0,0,5.4,110,5.641978
"1323",55000000,17869048,6.2,90,23.465539
"1326",40000000,9793496,7.1,130,3.87823
"1351",0,0,6.3,127,2.79483
"1353",36000000,12532777,7.5,106,70.398356
"1354",36000000,3003296,4.6,95,1.068453
"1356",0,0,5.3,95,3.457194
"1361",0,0,5.9,112,6.668679
"1377",35000000,0,6.3,90,11.897925
"1381",0,0,6.3,132,28.98027
"1393",0,0,5.2,80,6.74556
"1407",35000000,0,6.4,101,3.721272
"1422",35000000,0,6.1,140,5.926966
"1438",30000000,0,5.3,93,9.780588
"1439",27000000,16519460,5.8,117,9.904881
"1441",35000000,0,5.7,115,6.81729
"1442",35000000,18317151,6.6,96,10.73522
"1443",0,0,6.4,111,11.1399
"1444",35000000,13678913,5.7,94,6.727949
"1446",40000000,12206028,5.3,101,14.818718
"1448",33000000,0,4.7,91,2.706207
"1449",35000000,17508518,5.5,110,27.903999
"1450",35000000,11560806,4.8,102,3.746806
"1451",20500000,10089373,5.6,102,17.112498
"1452",35000000,12506188,4.9,83,10.304172
"1457",35000000,0,7.7,180,9.122828
"1458",35000000,0,6.6,121,5.419181
"1459",35000000,16838910,6.2,114,9.07278
"1460",35000000,0,7.4,173,2.864979
"1461",35000000,1.5e+07,6.7,135,2.877488
"1462",38000000,635096,6.6,138,5.516207
"1465",0,0,0,100,0.126738
"1471",35000000,2106557,5.1,96,16.830184
"1475",34000000,0,5.3,114,1.656695
"1476",35000000,0,5.4,106,17.932561
"1482",34000000,0,6.3,85,12.867326
"1486",33000000,0,4.9,96,7.339908
"1497",33000000,0,5.3,99,13.655735
"1512",0,0,6.3,106,6.048743
