"","budget","revenue","vote_average","runtime","popularity"
"1",237000000,2787965087,7.2,162,150.437577
"2",300000000,9.61e+08,6.9,169,139.082615
"3",245000000,880674609,6.3,148,107.376788
"4",250000000,1084939099,7.6,165,112.31295
"5",260000000,284139100,6.1,132,43.926995
"6",258000000,890871626,5.9,139,115.699814
"7",260000000,591794936,7.4,100,48.681969
"8",280000000,1405403694,7.3,141,134.279229
"9",250000000,933959197,7.4,153,98.885637
"10",250000000,873260194,5.7,151,155.790452
"11",270000000,391081192,5.4,154,57.925623
"12",200000000,586090727,6.1,106,107.928811
"13",200000000,1065659812,7,151,145.847379
"14",255000000,89289910,5.9,149,49.046956
"15",225000000,662845518,6.5,143,99.398009
"16",225000000,419651413,6.3,150,53.978602
"17",220000000,1519557910,7.4,143,144.448633
"18",380000000,1045713802,6.4,136,135.413856
"19",225000000,624026776,6.2,106,52.035179
"20",250000000,956019788,7.1,144,120.965743
"21",215000000,752215857,6.5,136,89.866276
"22",200000000,310669540,6.2,140,37.668301
"23",250000000,958400000,7.6,161,94.370564
"24",180000000,372234864,5.8,113,42.990906
"25",207000000,5.5e+08,6.6,187,61.22601
"26",200000000,1845034188,7.5,194,100.025899
"27",250000000,1153304495,7.1,147,198.372395
"28",209000000,303025485,5.5,131,64.928382
"29",150000000,1513528810,6.5,124,418.708552
"30",200000000,1108561013,6.9,143,93.004993
"31",200000000,783766341,6.7,127,35.149586
"32",200000000,1215439994,6.8,130,77.68208
"33",200000000,1025491110,6.4,108,78.530105
"34",210000000,459359555,6.3,104,3.857526
"35",200000000,743559607,7,104,89.186492
"36",150000000,836297228,6,150,21.939663
"37",210000000,1091405097,5.8,165,116.840296
"38",200000000,491868548,5.7,130,46.985445
"39",200000000,705717432,6.5,142,89.270217
"40",170000000,400062763,6.3,125,73.79505
"41",200000000,559852396,5.8,106,49.98659
"42",200000000,219851172,5.1,114,51.872839
"43",200000000,1066969703,7.6,103,59.995418
"44",200000000,371353001,5.9,115,71.862892
"45",190000000,1506249360,7.3,137,102.322217
"46",200000000,531865000,6.7,116,81.834855
"47",250000000,747862775,7.5,131,118.078691
"48",190000000,467365246,7.4,132,78.291018
"49",195000000,197687603,5.5,114,43.349855
"50",105000000,351040419,7.3,143,61.196071
"51",150000000,335154643,6.2,116,62.169881
"52",180000000,407602906,6.7,131,56.523205
"53",195000000,1123746996,6.1,154,28.529607
"54",185000000,786636033,5.7,122,75.674458
"55",175000000,331926147,6.6,93,51.692953
"56",185000000,538983207,6.7,93,125.114374
"57",185000000,343471816,6.6,122,65.352913
"58",180000000,521311860,7.8,98,66.390712
"59",140000000,258022233,6.1,91,22.57178
"60",200000000,769653595,5.6,158,45.274225
"61",200000000,325233863,6.6,96,39.744242
"62",176000003,183987723,5.2,124,85.36908
"63",180000000,356743061,5.5,109,42.741719
"64",180000000,748806957,6.7,143,67.391328
"65",178000000,543934787,6.4,144,139.272042
"66",185000000,1004558444,8.2,152,187.322927
"67",175000000,735099082,7.7,96,92.201962
"68",175000000,381509870,6,94,36.167578
"69",140000000,585174222,7.4,126,120.725053
"70",170000000,185770160,7,126,32.319043
"71",170000000,222104681,5.1,106,40.748915
"72",145000000,401128639,5.2,112,60.034162
"73",175000000,7.45e+08,5.9,123,90.23792
"74",175000000,1.73e+08,5.3,96,27.082182
"75",178000000,370541256,7.6,113,79.456485
"76",175000000,264218220,5.9,135,44.640292
"77",175000000,302469017,5.6,118,32.852443
"78",175000000,857611174,8,94,128.655964
"79",175000000,966550600,6.7,106,94.199316
"80",200000000,623933331,6.6,124,77.300194
"81",170000000,396600000,5.8,127,77.178973
"82",180000000,758539785,7,97,110.620647
"83",170000000,710644566,7.3,130,243.791743
"84",27000000,0,4.8,109,2.418535
"85",175000000,150962475,5.9,119,41.796339
"86",170000000,714766572,7.6,136,72.225265
"87",165000000,752600867,6,93,44.041186
"88",190000000,209154322,6.2,130,130.311355
"89",165000000,652105443,7.8,102,203.73459
"90",165000000,471222889,7.1,108,62.341073
"91",165000000,305875730,6.4,100,47.323228
"92",165000000,389681935,4.9,120,48.775723
"93",165000000,494878759,7.5,98,67.263269
"94",200000000,4.35e+08,5.9,109,69.405188
"95",170000000,773328629,7.9,121,481.098624
"96",165000000,675120017,8.1,169,724.247784
"97",160000000,825532764,8.1,148,167.58371
"98",15000000,7.7e+07,6.5,120,9.476999
"99",250000000,1021103568,7,169,108.849621
"100",38000000,207283925,6.6,106,6.909942
"101",150000000,333932083,7.3,166,60.269279
"102",160000000,353624124,7.1,132,3.195174
"103",160000000,653428261,6.6,137,127.284427
"104",150000000,215283742,5.8,109,35.580815
"105",160000000,181674817,5.5,99,21.133748
"106",170000000,299370084,6.5,113,56.268916
"107",160000000,798958165,6,93,42.986467
"108",160000000,433677183,6.3,123,63.148529
"109",155000000,440603537,5.8,126,202.042635
"110",155000000,415686217,6.2,113,49.661984
"111",140000000,449220945,6.6,183,34.20669
"112",150000000,709709780,6.6,144,25.468493
"113",155000000,167298192,5.6,175,39.019229
"114",150000000,938212738,7.4,138,78.144395
